brooklyn_rank,start_station_id,start_station_name,lat,lon,capacity,trip_count,avg_duration_min,member_pct,trips_per_dock
1,5788.13,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,0,13052,9.72,91.5,
2,5779.11,Ave A & E 14 St,40.73031071000895,-73.98047178983688,41,12509,7.21,92.1,305.1
3,5905.14,University Pl & E 14 St,40.734814,-73.992085,61,11315,9.27,90.3,185.5
4,5905.12,Broadway & E 14 St,40.73454567,-73.99074142,114,11260,9.51,89.2,98.8
5,5303.06,Clinton St & Grand St,40.71559509,-73.9870295,54,10709,9.37,94.6,198.3
6,5374.01,Norfolk St & Broome St,40.7172274,-73.98802084,59,9350,10.38,89.3,158.5
7,5886.13,E 20 St & FDR Dr,40.733208626522426,-73.9756813647,75,8878,9.9,91.8,118.4
8,5303.08,Canal St & Rutgers St,40.71427487,-73.98990025,45,8814,10.3,90.4,195.9
9,5382.06,Grand St & Elizabeth St,40.718822,-73.99596,45,8807,11.53,92.0,195.7
10,5382.07,Forsyth St & Grand St,40.71779817737835,-73.99316132068634,63,8776,9.31,93.4,139.3
11,5626.07,E 7 St & Ave A,40.72621788,-73.98379855,45,8678,8.38,91.9,192.8
12,5989.02,W 15 St & 6 Ave,40.738046142482766,-73.99642959237099,75,8587,9.13,91.4,114.5
13,5308.04,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,54,8569,10.34,88.7,158.7
14,5712.03,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,87,8409,9.15,90.4,96.7
15,5492.05,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,33,8377,10.95,88.5,253.8
16,5854.09,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,54,8370,9.2,91.8,155.0
17,5561.06,Lafayette St & Jersey St,40.72456089,-73.99565293,60,8118,10.8,89.1,135.3
18,5593.01,E 1 St & 1 Ave,40.72335597960796,-73.98864984512329,75,8090,8.89,90.0,107.9
19,5763.03,Carmine St & 6 Ave,40.73038599,-74.00214988,63,8055,10.48,87.6,127.9
20,5636.11,Great Jones St,40.72743423,-73.99379025,23,8046,9.63,92.9,349.8
21,5947.04,W 13 St & 5 Ave,40.735445,-73.99431,43,7797,9.92,90.8,181.3
22,5847.01,Christopher St & Greenwich St,40.73291553,-74.00711384,74,7784,10.15,90.3,105.2
23,5929.01,E 23 St & 1 Ave,40.736502,-73.97809472,27,7627,10.01,94.1,282.5
24,5679.08,Bleecker St & Crosby St,40.72615604980408,-73.99510189890862,63,7601,9.96,90.6,120.7
25,6022.04,E 16 St & 5 Ave,40.73726186,-73.99238967,65,7600,9.87,91.0,116.9
26,5779.08,1 Ave & E 16 St,40.73221853,-73.98165557,54,7409,8.2,92.9,137.2
27,5863.07,E 15 St & 3 Ave,40.734232,-73.986923,78,7369,9.21,92.2,94.5
28,5445.02,Suffolk St & Stanton St,40.72066442,-73.98517977,79,7358,10.56,89.2,93.1
29,5340.01,N 7 St & Driggs Ave,40.716967,-73.956388,53,7313,8.83,88.3,138.0
30,5679.05,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,67,7302,9.37,89.2,109.0
31,5184.08,West St & Liberty St,40.711444,-74.014847,48,7296,14.27,84.1,152.0
32,5820.08,E 13 St & 2 Ave,40.73153937464073,-73.9853024482727,54,7282,10.43,87.9,134.9
33,5484.09,Allen St & Stanton St,40.722055,-73.989111,49,7250,10.08,87.8,148.0
34,5470.12,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,29,7150,9.57,94.6,246.6
35,5626.15,1 Ave & E 6 St,40.72633085971696,-73.98616880178452,94,7085,8.97,91.5,75.4
36,4395.07,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,39,7024,9.99,87.6,180.1
37,5297.02,Vesey Pl & River Terrace,40.7153379,-74.01658354,57,7005,12.99,90.6,122.9
38,6030.04,W 13 St & 7 Ave,40.73781509,-73.99994661,47,6932,9.08,92.2,147.5
39,5788.15,4 Ave & E 12 St,40.732647,-73.99011,39,6840,9.34,91.8,175.4
40,5746.02,E 10 St & 2 Ave,40.72970805644994,-73.9865979552269,41,6733,9.2,90.9,164.2
41,5414.06,Allen St & Rivington St,40.72019576,-73.98997825,42,6706,10.64,87.5,159.7
42,5880.02,W 4 St & 7 Ave S,40.73401143,-74.00293877,60,6655,10.53,88.0,110.9
43,5746.14,E 11 St & 1 Ave,40.72953837,-73.98426726,61,6283,9.55,89.4,103.0
44,5703.13,Ave A & E 11 St,40.72854745023944,-73.98175925016403,69,6262,9.5,89.3,90.8
45,5659.11,E 11 St & Ave B,40.72746420692392,-73.97950418293476,66,6239,8.67,93.2,94.5
46,5343.11,Orchard St & Grand St,40.717318403855785,-73.99067759513855,45,6194,10.47,88.1,137.6
47,5971.09,E 22 St & 2 Ave,40.73716919369882,-73.98122549057007,49,6097,9.7,92.2,124.4
48,5294.04,Henry St & Grand St,40.714211,-73.981095,36,6088,9.51,94.5,169.1
49,5545.01,E 7 St & Ave C,40.72412944090093,-73.97901266813278,38,6057,9.41,92.6,159.4
50,5515.02,E 2 St & Ave B,40.72217444,-73.98368779,85,5951,8.76,89.9,70.0
51,5476.03,E 2 St & Ave C,40.7208736,-73.98085795,84,5909,9.92,90.6,70.3
52,5515.08,E 4 St & Ave B,40.723346832180155,-73.98265913128853,37,5903,9.15,89.6,159.5
53,5626.13,St Marks Pl & 1 Ave,40.72779126,-73.98564945,69,5890,9.8,91.4,85.4
54,6013.12,Gramercy Park N & Gramercy Park E,40.73795,-73.98509,47,5882,9.31,91.8,125.1
55,5755.14,University Pl & E 8 St,40.73143724085228,-73.99490341544151,79,5871,9.04,88.8,74.3
56,5406.02,Rivington St & Ridge St,40.71850211,-73.98329859,61,5844,10.47,89.2,95.8
57,5730.08,Greenwich St & W Houston St,40.728846,-74.008591,80,5804,11.5,89.9,72.6
58,4125.07,7 Ave & Park Pl,40.6776147,-73.97324283,25,5792,8.7,88.3,231.7
59,5971.08,E 20 St & 2 Ave,40.73587678,-73.98205027,84,5773,9.85,91.5,68.7
60,5584.05,E 7 St & Ave B,40.7251285241158,-73.98131668567657,69,5747,8.97,91.8,83.3
61,4051.01,Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629,29,5718,10.12,90.7,197.2
62,5659.05,E 10 St & Ave A,40.72740794,-73.98142006,107,5669,9.68,89.4,53.0
63,5584.04,E 6 St & Ave B,40.72453734,-73.98185424,95,5614,9.87,90.8,59.1
64,5938.11,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154,79,5608,9.87,92.5,71.0
65,5712.12,E 5 St & Cooper Sq,40.72769,-73.990993,50,5606,9.86,92.1,112.1
66,5175.08,Fulton St & Broadway,40.711066,-74.009447,49,5599,13.44,86.6,114.3
67,5721.14,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,51,5571,10.03,90.4,109.2
68,3651.04,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,29,5554,12.78,77.7,191.5
69,5736.09,E 14 St & Ave B,40.72938685,-73.97772429,43,5545,9.31,91.4,129.0
70,5687.04,MacDougal St & Prince St,40.72710258,-74.00297088,47,5419,11.02,89.2,115.3
71,6055.08,E 20 St & Park Ave,40.73827428,-73.98751968,45,5385,9.73,93.3,119.7
72,4637.06,Fulton St & Adams St,40.692418292578466,-73.98949474096298,47,5368,11.4,88.3,114.2
73,5207.01,Centre St & Chambers St,40.71273266,-74.0046073,56,5365,13.82,76.9,95.8
74,5288.12,Murray St & Greenwich St,40.714851505262516,-74.01122331619263,49,5332,10.15,92.9,108.8
75,5335.07,Grand St & Samuel Dickstein Plaza,40.715118719964956,-73.98417055606842,81,5324,10.03,94.3,65.7
76,5610.09,6 Ave & Broome St,40.72431,-74.00473,72,5300,11.63,91.8,73.6
77,5593.04,E 4 St & 2 Ave,40.7262807,-73.98978041,78,5282,9.47,90.2,67.7
78,4651.02,Clinton Ave & Myrtle Ave,40.693261,-73.968896,33,5280,10.58,88.2,160.0
79,5561.04,Mott St & Prince St,40.72317958,-73.99480012,39,5277,10.75,88.0,135.3
80,5616.01,E 9 St & Ave C,40.72521311,-73.97768752,50,5248,9.32,90.0,105.0
81,5805.07,7 Ave S & Bleecker St,40.73213896287381,-74.00363802909851,87,5247,11.35,86.0,60.3
82,5914.03,W 11 St & 6 Ave,40.73532427,-73.99800419,79,5201,10.06,92.2,65.8
83,5134.09,Broadway & Kent Ave,40.710888,-73.968329,35,5189,11.44,85.0,148.3
84,5270.09,Market St & Henry St,40.71310702305908,-73.99446353316307,42,5164,9.9,92.6,123.0
85,5922.07,Perry St & Bleecker St,40.73535398,-74.00483091,35,5149,9.96,90.7,147.1
86,4470.09,Lafayette Ave & Ft Greene Pl,40.68700231292619,-73.97664964199066,36,5143,9.91,88.7,142.9
87,5805.05,Barrow St & Hudson St,40.73172428,-74.00674436,45,5135,10.84,91.3,114.1
88,5944.01,Franklin St & Dupont St,40.73564,-73.95866,27,5116,9.42,89.7,189.5
89,5721.01,Sullivan St & Washington Sq,40.73047747,-73.99906065,57,5113,10.94,86.8,89.7
90,5235.05,S 3 St & Bedford Ave,40.71260486,-73.96264403,25,5108,11.71,85.7,204.3
91,5788.16,E 11 St & 3 Ave,40.73127,-73.98849,80,5079,9.13,88.0,63.5
92,5445.07,Stanton St & Norfolk St,40.720747,-73.986274,49,5071,10.21,86.8,103.5
93,5523.02,Stanton St & Chrystie St,40.72229346,-73.99147535,47,5050,10.47,90.5,107.4
94,5105.01,Liberty St & Broadway,40.70905623,-74.01043382,67,5044,13.32,90.2,75.3
95,5838.09,Washington Pl & 6 Ave,40.73224119,-74.00026394,76,5001,10.22,87.0,65.8
96,5653.12,Spring St & Hudson St,40.72583996792375,-74.0076532959938,63,4971,10.77,87.1,78.9
97,5896.01,E 17 St & 2 Ave,40.73431166276575,-73.98372530937195,47,4941,9.32,92.7,105.1
98,5216.04,Barclay St & Church St,40.71291224,-74.01020234,37,4896,11.85,92.6,132.3
99,5914.08,Greenwich Ave & Charles St,40.735238,-74.000271,57,4876,9.82,90.3,85.5
100,5696.03,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,23,4862,13.63,76.2,211.4
101,5291.05,Graham Ave & Conselyea St,40.715143,-73.944507,30,4819,8.17,89.8,160.6
102,6004.07,E 25 St & 1 Ave,40.7381765,-73.97738662,35,4794,10.23,93.0,137.0
103,5779.10,E 14 St & 1 Ave,40.73139303364151,-73.98286700248718,34,4779,8.71,90.8,140.6
104,5922.04,Greenwich St & Perry St,40.73498,-74.00697,45,4758,9.88,91.3,105.7
105,5755.01,Washington Pl & Broadway,40.72903917,-73.99404649,27,4679,9.53,91.5,173.3
106,5636.13,E 1 St & Bowery,40.72486122254819,-73.99213135242462,44,4675,10.09,91.0,106.3
107,5388.01,Kent Ave & Grand St,40.716425,-73.96594,45,4665,12.04,84.0,103.7
108,5453.05,Forsyth St & Broome St,40.71893904,-73.99266288,66,4650,9.65,92.2,70.5
109,5545.04,E 5 St & Ave C,40.72299208,-73.97995466,55,4638,9.63,93.2,84.3
110,5422.09,Lafayette St & Grand St,40.72028,-73.99879,78,4557,11.39,88.0,58.4
111,4789.03,Clark St & Henry St,40.69760127,-73.99344559,43,4547,10.13,88.5,105.7
112,5489.03,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,79,4515,11.22,82.1,57.2
113,5550.05,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,49,4478,10.49,87.6,91.4
114,5506.14,E 6 St & Ave D,40.72228087,-73.97668709,45,4442,10.21,91.9,98.7
115,5436.09,Ave D & E 3 St,40.72082834,-73.97793172,55,4433,10.87,95.1,80.6
116,5788.12,E 12 St & 3 Ave,40.73223272,-73.98889957,70,4419,8.59,91.4,63.1
117,5270.07,Forsyth St & Canal St,40.7158155,-73.99422366,29,4398,12.0,88.0,151.7
118,5453.01,Rivington St & Chrystie St,40.72110063,-73.9919254,64,4391,11.34,88.4,68.6
119,5669.12,E 6 St & 2 Ave,40.727378693232225,-73.98840844631195,69,4343,9.31,89.2,62.9
120,5351.03,Bayard St & Baxter St,40.71602118,-73.99974372,43,4305,11.89,92.0,100.1
121,4611.03,Willoughby Ave & Hall St,40.69196035,-73.96536851,51,4303,11.89,87.9,84.4
122,5238.05,St James Pl & Oliver St,40.71307916,-73.99851193,48,4299,10.29,91.3,89.6
123,4596.09,Lawrence St & Willoughby St,40.69236178,-73.98631746,39,4253,13.47,87.9,109.1
124,4605.04,Clinton St & Joralemon St,40.69239502,-73.99337909,50,4246,10.0,89.4,84.9
125,4446.01,Bergen St & Smith St,40.6867443,-73.99063168,48,4232,10.24,88.6,88.2
126,5938.01,E 19 St & 3 Ave,40.73624527,-73.98473765,35,4222,8.66,93.6,120.6
127,5379.09,Berry St & N 8 St,40.7190095,-73.95852515,27,4187,9.29,86.3,155.1
128,5453.06,Kenmare St & Elizabeth St,40.72054,-73.9949,37,4165,12.33,82.8,112.6
129,5351.07,Walker St & Baxter St,40.717411,-73.999573,47,4155,11.6,90.7,88.4
130,5379.10,N 6 St & Bedford Ave,40.71745169,-73.95850939,28,4152,9.01,86.9,148.3
131,5553.03,E 3 St & 1 Ave,40.72467721,-73.98783413,59,4130,9.35,90.0,70.0
132,5164.05,Broadway & Berry St,40.71036129922581,-73.96530389785767,34,4118,11.04,86.2,121.1
133,5955.12,Perry St & Greenwich Ave,40.735918,-74.000939,53,4070,10.19,90.8,76.8
134,3905.15,3 St & 7 Ave,40.6703837,-73.97839676,27,4063,9.61,90.6,150.5
135,3803.09,6 Ave & 9 St,40.668127,-73.98377641,27,4034,9.51,91.9,149.4
136,4895.09,Jay St & York St,40.701403172577244,-73.98672670125961,39,4032,11.64,83.6,103.4
137,5391.06,Lispenard St & Broadway,40.71939226,-74.00247214,79,4029,11.28,87.5,51.0
138,5666.04,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,28,3996,9.58,89.0,142.7
139,5772.05,Morton St & Washington St,40.731135726910246,-74.00815155572697,56,3994,10.69,89.5,71.3
140,5869.04,Huron St & Franklin St,40.73266,-73.95826,35,3993,11.01,88.1,114.1
141,5669.10,St Marks Pl & 2 Ave,40.7284186,-73.98713956,73,3979,9.34,90.1,54.5
142,5553.10,E 2 St & Ave A,40.72307749068673,-73.98583620786667,68,3961,9.01,89.6,58.3
143,5450.04,N 12 St & Bedford Ave,40.72079821,-73.95484712,47,3953,10.51,87.6,84.1
144,5270.05,Pike St & E Broadway,40.71406667,-73.99293911,34,3951,10.03,93.9,116.2
145,4010.01,Plaza St East & Flatbush Ave,40.673134,-73.969106,63,3919,13.99,83.0,62.2
146,5204.05,S 4 St & Wythe Ave,40.71285887,-73.96590294,37,3914,11.16,83.1,105.8
147,5187.03,Hope St & Union Ave,40.71167351,-73.95141312,25,3885,9.49,86.9,155.4
148,5190.09,Clinton St & Cherry St,40.711471394469264,-73.98672603070736,49,3871,10.3,88.8,79.0
